,SchoolCode,Expenditure
1384,3669,8208900
1385,3673,9677389
1386,3674,10785790
1387,3675,6606616
1388,3676,5234056
1389,3677,6507383
1390,3678,5584140
1391,3679,6018030
1392,3680,10436520
1393,3683,7531880
1394,3685,9302246
1395,3686,9367610
1396,3687,6629097
1397,3688,30398683
1398,3689,7863128
1399,3691,8528937
1400,3693,8229214
1401,3696,5855525
1402,3697,6814065
1403,3699,4601245
1404,3700,6164721
1405,3701,9973691
1406,3702,7814218
1407,3703,8368770
1408,3704,5388178
1409,3705,8213110
1410,3706,12196918
1411,3707,6386804
1412,3708,5615976
1413,3709,8148663
1414,3710,17936717
1415,3711,10018352
1416,3714,7443806
1417,3717,6020746
1418,3718,8975463
1419,3719,6965690
1420,3723,1071148
1421,3725,343852
1422,3727,7663295
1423,3728,5332201
1424,3729,7132512
1425,3730,8744911
1426,3731,20803469
1427,3732,7602312
1428,3733,7575509
1429,3734,7434684
1430,3735,7313689
1431,3736,9348173
1432,3737,5262239
1433,3738,6887982
1434,3739,4234340
1435,3740,7197678
1436,3741,17036801
1437,3742,10210908
1438,3745,7964885
1439,3746,9753481
1440,3747,6841794
1441,3748,6289805
1442,3749,7220016
1443,3750,11455163
1444,3751,10628305
1445,3752,12587263
1446,3753,7288649
1447,3754,7551452
1448,3755,19843749
1449,3758,9401890
1450,3759,8435510
1451,3761,5238727
1452,3762,9087323
1453,3763,5409141
1454,3764,8755950
1455,3766,18536814
1456,3771,19684433
1457,3774,11612451
1458,3778,2165372
1459,3779,4988003
1460,3785,13662981
1461,3786,7835254
1462,3787,3554330
1463,3788,2302801
1464,3789,9704645
1465,3790,12483600
1466,3791,9547665
1467,3792,6598913
1468,3794,4226325
1469,3795,4317701
1470,3796,7625437
1471,3798,6947667
1472,3800,2949663
1473,3801,6750804
1474,3803,6453968
1475,3808,395705
1476,3811,2273934
1477,3817,8882034
1478,3819,194091
1479,3821,10785867
1480,3822,8293769
1481,3823,6386308
1482,3825,8494581
1483,3827,6078643
1484,3829,4485515
1485,3831,5887328
1486,3833,25741358
1487,3848,6831477
1488,3851,13094920
1489,3854,5495243
